                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.3007,                 1.3442,                 1.4841,                0.44702,                0.55033,                0.48602,                0.28959,                 1.4624,                 1.5199,                 1.6682,             0.00098706,             0.00098706,             0.00098706
                    105,                 1.3515,                 1.3821,                 1.5185,                0.50728,                0.66493,                0.55289,                0.34203,                 1.3948,                 1.3972,                 1.6202,             0.00098046,             0.00098046,             0.00098046
                    106,                  1.366,                 1.4322,                 1.5019,                 0.4784,                 0.5867,                0.48064,                0.29773,                 1.3954,                 1.4674,                 1.6154,             0.00097386,             0.00097386,             0.00097386
                    107,                 1.2972,                 1.3119,                 1.4615,                0.50236,                0.62328,                0.55925,                0.34529,                 1.4384,                 1.4973,                 1.6699,             0.00096726,             0.00096726,             0.00096726
                    108,                 1.3516,                 1.3763,                 1.5245,                0.40506,                0.71144,                 0.5257,                0.32698,                 1.4703,                 1.4686,                 1.6497,             0.00096066,             0.00096066,             0.00096066
                    109,                 1.3528,                 1.3811,                 1.4981,                0.43445,                0.63046,                0.50636,                0.29843,                 1.4884,                 1.5198,                 1.6623,             0.00095406,             0.00095406,             0.00095406
                    110,                 1.3468,                 1.3658,                 1.4858,                0.43502,                0.66275,                0.50821,                 0.2985,                 1.4154,                 1.5197,                 1.5775,             0.00094746,             0.00094746,             0.00094746
                    111,                 1.3134,                 1.3419,                 1.4595,                0.50556,                0.63125,                0.55328,                0.33594,                 1.4366,                  1.405,                 1.6242,             0.00094085,             0.00094085,             0.00094085
                    112,                 1.3105,                 1.3737,                 1.4956,                0.49275,                0.62698,                0.55555,                0.33173,                 1.4959,                  1.571,                 1.6662,             0.00093425,             0.00093425,             0.00093425
                    113,                 1.2993,                 1.3608,                 1.4769,                0.41737,                0.58647,                 0.5332,                0.32117,                 1.4983,                 1.4973,                 1.6706,             0.00092765,             0.00092765,             0.00092765
                    114,                 1.3463,                 1.3691,                 1.4972,                0.41496,                0.68714,                0.51704,                0.30947,                 1.4754,                 1.5914,                 1.6369,             0.00092105,             0.00092105,             0.00092105
                    115,                 1.3048,                 1.3229,                 1.4735,                0.53393,                0.66541,                0.54186,                0.32836,                 1.4016,                 1.4216,                 1.6261,             0.00091445,             0.00091445,             0.00091445
                    116,                 1.3098,                 1.3333,                 1.4718,                0.55267,                0.67725,                0.63185,                0.38752,                 1.4319,                 1.3427,                 1.6268,             0.00090785,             0.00090785,             0.00090785
                    117,                 1.3188,                 1.3138,                 1.4401,                0.56364,                  0.532,                0.57898,                0.35294,                 1.4865,                 1.3876,                 1.6286,             0.00090125,             0.00090125,             0.00090125
                    118,                   1.29,                 1.3181,                 1.4588,                0.52043,                0.52958,                0.53499,                0.33311,                 1.4175,                 1.4386,                 1.6353,             0.00089465,             0.00089465,             0.00089465
                    119,                  1.282,                 1.2636,                 1.4467,                0.50431,                0.61009,                0.58984,                0.36244,                 1.4194,                   1.45,                 1.6153,             0.00088804,             0.00088804,             0.00088804
                    120,                 1.2745,                 1.3064,                 1.4669,                0.49435,                0.64745,                0.55216,                0.33829,                 1.4021,                 1.4202,                 1.6023,             0.00088144,             0.00088144,             0.00088144
                    121,                   1.29,                 1.3034,                 1.4626,                0.48486,                0.67783,                0.59406,                0.37169,                 1.3867,                 1.4279,                 1.5949,             0.00087484,             0.00087484,             0.00087484
                    122,                 1.3296,                 1.3598,                 1.4932,                0.47282,                0.62882,                0.55537,                0.35528,                 1.3963,                 1.4005,                 1.5651,             0.00086824,             0.00086824,             0.00086824
                    123,                  1.237,                 1.2722,                 1.4316,                0.46596,                0.74767,                0.57367,                0.34574,                 1.4051,                 1.3855,                  1.638,             0.00086164,             0.00086164,             0.00086164
                    124,                 1.2742,                 1.2981,                 1.4636,                0.51097,                0.69911,                0.61025,                0.36819,                 1.4171,                  1.372,                 1.6104,             0.00085504,             0.00085504,             0.00085504
                    125,                 1.2604,                 1.2839,                 1.4287,                0.48423,                 0.6883,                0.59107,                0.35465,                 1.4162,                 1.4031,                 1.5897,             0.00084844,             0.00084844,             0.00084844
